hypothesis,subject_id,overall_recall,nonboundary_recall,boundary_recall,boundary_advantage,mean_nonboundary_drift,mean_boundary_drift,drift_boundary_contrast,mean_abs_rpe,mean_drift,rpe_recall_r
H1_smaller_boundary,0,0.6145833333333334,0.5833333333333334,0.8333333333333334,0.25,0.5267164642857143,0.6138670625,0.08715059821428572,16.740192708333336,0.5376102890625,0.01119618475386692
H1_smaller_boundary,1,0.6770833333333334,0.6785714285714286,0.6666666666666666,-0.011904761904761973,0.5280725214285714,0.6227910125,0.0947184910714286,18.274888541666666,0.5399123328125001,0.10207320096367482
H1_smaller_boundary,2,0.6458333333333334,0.6547619047619048,0.5833333333333334,-0.0714285714285714,0.5237737375,0.6202741125,0.09650037499999997,15.557522916666668,0.535836284375,-0.03480965312465109
H1_smaller_boundary,3,0.6145833333333334,0.6428571428571429,0.4166666666666667,-0.22619047619047622,0.5282877535714287,0.6159406749999999,0.08765292142857128,17.829579166666665,0.53924436875,0.12772322437540068
H1_smaller_boundary,4,0.6145833333333334,0.6071428571428571,0.6666666666666666,0.059523809523809534,0.5240597589285715,0.6225335375,0.09847377857142847,15.912654166666668,0.53636898125,0.10677276752286866
H1_smaller_boundary,5,0.6979166666666666,0.7023809523809523,0.6666666666666666,-0.0357142857142857,0.5270096053571428,0.6299542124999999,0.10294460714285714,18.2517875,0.53987768125,0.09261896284680027
H1_smaller_boundary,6,0.625,0.6190476190476191,0.6666666666666666,0.04761904761904756,0.5225572428571429,0.632892875,0.11033563214285713,15.899464583333334,0.5363491968749999,0.1270208325433737
H1_smaller_boundary,7,0.6979166666666666,0.6785714285714286,0.8333333333333334,0.15476190476190477,0.530945925,0.6228591625,0.09191323749999991,19.956719791666668,0.5424350796875,-0.008709870614616007
H1_smaller_boundary,8,0.65625,0.6190476190476191,0.9166666666666666,0.29761904761904756,0.5245009714285714,0.62521885,0.10071787857142855,16.393804166666666,0.53709070625,0.20835605013501612
H1_smaller_boundary,9,0.6041666666666666,0.5952380952380952,0.6666666666666666,0.0714285714285714,0.5273066767857143,0.6281624124999999,0.10085573571428563,18.2757625,0.53991364375,0.09359643379197125
H1_smaller_boundary,10,0.6354166666666666,0.6190476190476191,0.75,0.13095238095238093,0.5236888928571428,0.6253681624999999,0.10167926964285712,15.932534375000001,0.5363988015625,0.029481570045392612
H1_smaller_boundary,11,0.5729166666666666,0.5714285714285714,0.5833333333333334,0.011904761904761973,0.5258134910714286,0.62278325,0.0969697589285714,16.956473958333333,0.5379347109375,0.1769807654285302
H1_smaller_boundary,12,0.6354166666666666,0.6190476190476191,0.75,0.13095238095238093,0.5215183607142857,0.620375175,0.09885681428571425,14.250308333333335,0.5338754625000001,-0.022339967386670163
H1_smaller_boundary,13,0.5833333333333334,0.5595238095238095,0.75,0.19047619047619047,0.5248137714285714,0.620231475,0.09541770357142854,16.16065625,0.5367409843750001,0.11686556994703255
H1_smaller_boundary,14,0.71875,0.7023809523809523,0.8333333333333334,0.13095238095238104,0.5265488517857143,0.623261725,0.09671287321428568,17.425307291666666,0.5386379609374999,-0.06610594770426942
H1_smaller_boundary,15,0.6041666666666666,0.5952380952380952,0.6666666666666666,0.0714285714285714,0.5253507000000001,0.618854025,0.09350332499999991,16.359077083333336,0.537038615625,0.09431166355767949
H1_smaller_boundary,16,0.6979166666666666,0.6785714285714286,0.8333333333333334,0.15476190476190477,0.5251380196428572,0.6233874625,0.09824944285714277,16.6128,0.5374192,-0.1417556800617238
H1_smaller_boundary,17,0.7083333333333334,0.6785714285714286,0.9166666666666666,0.23809523809523803,0.5269439142857143,0.6251924375,0.09824852321428568,17.816653125,0.5392249796875,0.1146324094426074
H1_smaller_boundary,18,0.5833333333333334,0.6190476190476191,0.3333333333333333,-0.28571428571428575,0.5259265607142857,0.6197087124999999,0.09378215178571425,16.766219791666668,0.5376493296875,0.1722964053883641
H1_smaller_boundary,19,0.5520833333333334,0.5238095238095238,0.75,0.22619047619047616,0.5277255571428571,0.62662135,0.0988957928571429,18.3916875,0.54008753125,0.0716811285091433
H1_smaller_boundary,20,0.625,0.6190476190476191,0.6666666666666666,0.04761904761904756,0.5237953464285715,0.6151452624999999,0.0913499160714284,15.142723958333333,0.5352140859375,0.07633446399130313
H1_smaller_boundary,21,0.6354166666666666,0.6428571428571429,0.5833333333333334,-0.059523809523809534,0.5232834035714286,0.6310522125,0.10776880892857144,16.169669791666667,0.5367545046875,0.007585209897418926
H1_smaller_boundary,22,0.7083333333333334,0.7261904761904762,0.5833333333333334,-0.1428571428571428,0.5254501535714285,0.6205525875,0.09510243392857143,16.558638541666667,0.5373379578125,-0.0413875911131113
H1_smaller_boundary,23,0.625,0.6071428571428571,0.75,0.1428571428571429,0.5277547160714287,0.6233855875,0.0956308714285713,18.13905,0.539708575,0.1416729847439296
H1_smaller_boundary,24,0.7083333333333334,0.6904761904761905,0.8333333333333334,0.1428571428571429,0.5293112410714286,0.6196099125,0.0902986714285714,18.732383333333335,0.540598575,0.013051635756158092
H1_smaller_boundary,25,0.7083333333333334,0.7142857142857143,0.6666666666666666,-0.04761904761904767,0.5257746607142858,0.6197117875,0.0939371267857142,16.677867708333334,0.5375168015625,0.030547743071743697
H1_smaller_boundary,26,0.6458333333333334,0.6071428571428571,0.9166666666666666,0.30952380952380953,0.5253244232142856,0.625017725,0.09969330178571434,16.857390625,0.5377860859375,0.05858376907197837
H1_smaller_boundary,27,0.7083333333333334,0.6666666666666666,1.0,0.33333333333333337,0.5223573535714285,0.6367223375,0.11436498392857142,16.101984375,0.5366529765625,0.006035016918669655
H1_smaller_boundary,28,0.65625,0.6547619047619048,0.6666666666666666,0.011904761904761862,0.5251681321428572,0.6201895624999999,0.09502143035714272,16.363873958333333,0.5370458109375,0.055653432135661526
H1_smaller_boundary,29,0.6145833333333334,0.5952380952380952,0.75,0.15476190476190477,0.52699175,0.6307349999999999,0.10374324999999995,18.306437499999998,0.53995965625,0.0674919531206588
H1_smaller_boundary,30,0.7083333333333334,0.6904761904761905,0.8333333333333334,0.1428571428571429,0.5258519785714286,0.623995325,0.09814334642857137,17.079931249999998,0.538119896875,-0.017993404810723757
H1_smaller_boundary,31,0.6458333333333334,0.6666666666666666,0.5,-0.16666666666666663,0.5234784571428571,0.619622775,0.09614431785714284,15.330997916666666,0.535496496875,-0.08399505949173033
